date,open,close,high,low,volume,成交额,均价,ma50,ma200
2026-01-15 09:33:00,5.28,5.29,5.29,5.28,6155.0,3255061.0,5.287,,
2026-01-15 09:34:00,5.29,5.29,5.3,5.29,3668.0,1941475.0,5.287,,
2026-01-15 09:35:00,5.29,5.29,5.3,5.29,6782.0,3589393.0,5.288,,
2026-01-15 09:36:00,5.29,5.27,5.29,5.26,35763.0,18851838.0,5.281,,
2026-01-15 09:37:00,5.27,5.26,5.28,5.26,14906.0,7858276.0,5.28,,
2026-01-15 09:38:00,5.26,5.27,5.28,5.26,6930.0,3652282.0,5.279,,
2026-01-15 09:39:00,5.27,5.27,5.27,5.26,5277.0,2779217.0,5.279,,
2026-01-15 09:40:00,5.27,5.26,5.27,5.26,3291.0,1733662.0,5.278,,
2026-01-15 09:41:00,5.26,5.27,5.27,5.26,2772.0,1459241.0,5.278,,
2026-01-15 09:42:00,5.27,5.27,5.27,5.26,9012.0,4741059.0,5.277,,
2026-01-15 09:43:00,5.27,5.27,5.27,5.26,1863.0,981137.0,5.277,,
2026-01-15 09:44:00,5.27,5.27,5.27,5.26,2567.0,1351839.0,5.276,,
2026-01-15 09:45:00,5.27,5.27,5.28,5.26,9655.0,5087776.0,5.276,,
2026-01-15 09:46:00,5.27,5.26,5.28,5.26,3645.0,1920880.0,5.276,,
2026-01-15 09:47:00,5.26,5.26,5.28,5.26,2923.0,1540405.0,5.276,,
2026-01-15 09:48:00,5.26,5.26,5.27,5.26,2225.0,1172465.0,5.276,,
2026-01-15 09:49:00,5.26,5.27,5.27,5.26,3145.0,1657270.0,5.275,,
2026-01-15 09:50:00,5.27,5.27,5.27,5.26,749.0,394392.0,5.275,,
2026-01-15 09:51:00,5.27,5.27,5.27,5.26,956.0,503492.0,5.275,,
2026-01-15 09:52:00,5.27,5.27,5.27,5.26,2947.0,1552982.0,5.275,,
2026-01-15 09:53:00,5.27,5.27,5.27,5.26,1368.0,720659.0,5.275,,
2026-01-15 09:54:00,5.27,5.27,5.27,5.26,987.0,520088.0,5.275,,
2026-01-15 09:55:00,5.27,5.27,5.27,5.26,2361.0,1244161.0,5.275,,
2026-01-15 09:56:00,5.27,5.27,5.28,5.26,1967.0,1036298.0,5.275,,
2026-01-15 09:57:00,5.27,5.27,5.28,5.26,4752.0,2504271.0,5.275,,
2026-01-15 09:58:00,5.27,5.27,5.27,5.26,1729.0,910914.0,5.275,,
2026-01-15 09:59:00,5.27,5.27,5.27,5.26,2764.0,1456415.0,5.275,,
2026-01-15 10:00:00,5.27,5.27,5.28,5.26,2285.0,1204053.0,5.275,,
2026-01-15 10:01:00,5.27,5.26,5.27,5.26,2793.0,1471805.0,5.275,,
2026-01-15 10:02:00,5.26,5.27,5.27,5.26,1907.0,1004657.0,5.274,,
2026-01-15 10:03:00,5.27,5.26,5.27,5.26,1839.0,968445.0,5.274,,
2026-01-15 10:04:00,5.26,5.26,5.27,5.26,750.0,395024.0,5.274,,
2026-01-15 10:05:00,5.26,5.26,5.27,5.26,1060.0,558050.0,5.274,,
2026-01-15 10:06:00,5.26,5.26,5.27,5.26,584.0,307471.0,5.274,,
2026-01-15 10:07:00,5.26,5.26,5.27,5.26,1785.0,940469.0,5.274,,
2026-01-15 10:08:00,5.26,5.27,5.27,5.26,2248.0,1184265.0,5.274,,
2026-01-15 10:09:00,5.27,5.26,5.27,5.26,2594.0,1365816.0,5.274,,
2026-01-15 10:10:00,5.26,5.27,5.27,5.26,1381.0,727245.0,5.274,,
2026-01-15 10:11:00,5.27,5.27,5.27,5.26,3883.0,2044724.0,5.274,,
2026-01-15 10:12:00,5.27,5.27,5.27,5.26,1087.0,572315.0,5.274,,
2026-01-15 10:13:00,5.27,5.27,5.27,5.26,2061.0,1084534.0,5.274,,
2026-01-15 10:14:00,5.27,5.27,5.27,5.26,2201.0,1158752.0,5.274,,
2026-01-15 10:15:00,5.27,5.27,5.27,5.26,3064.0,1611940.0,5.273,,
2026-01-15 10:16:00,5.27,5.27,5.27,5.26,1091.0,574172.0,5.273,,
2026-01-15 10:17:00,5.27,5.26,5.27,5.26,467.0,245737.0,5.273,,
2026-01-15 10:18:00,5.26,5.27,5.27,5.26,1022.0,537707.0,5.273,,
2026-01-15 10:19:00,5.27,5.26,5.27,5.26,4771.0,2509891.0,5.273,,
2026-01-15 10:20:00,5.26,5.26,5.27,5.26,2769.0,1457808.0,5.273,,
2026-01-15 10:21:00,5.26,5.27,5.27,5.26,5570.0,2930038.0,5.273,,
2026-01-15 10:22:00,5.27,5.26,5.27,5.26,3601.0,1895919.0,5.272,5.268,
2026-01-15 10:23:00,5.26,5.27,5.27,5.26,3473.0,1827270.0,5.272,5.267599999999999,
2026-01-15 10:24:00,5.27,5.26,5.27,5.26,886.0,466074.0,5.272,5.267,
2026-01-15 10:25:00,5.26,5.27,5.27,5.26,2712.0,1426715.0,5.272,5.2665999999999995,
2026-01-15 10:26:00,5.27,5.26,5.27,5.26,851.0,447877.0,5.272,5.2664,
2026-01-15 10:27:00,5.26,5.26,5.27,5.26,926.0,487355.0,5.272,5.2664,
2026-01-15 10:28:00,5.26,5.26,5.27,5.26,1748.0,919571.0,5.272,5.266199999999999,
2026-01-15 10:29:00,5.26,5.26,5.27,5.26,2825.0,1486714.0,5.272,5.266,
2026-01-15 10:30:00,5.26,5.26,5.27,5.26,1204.0,633357.0,5.272,5.266,
2026-01-15 10:31:00,5.26,5.26,5.27,5.26,799.0,420484.0,5.272,5.2658000000000005,
2026-01-15 10:32:00,5.26,5.26,5.27,5.26,847.0,445617.0,5.272,5.265599999999999,
2026-01-15 10:33:00,5.26,5.26,5.26,5.25,18619.0,9793404.0,5.271,5.2654,
2026-01-15 10:34:00,5.26,5.26,5.26,5.25,1425.0,748433.0,5.271,5.2652,
2026-01-15 10:35:00,5.26,5.25,5.26,5.25,278.0,146094.0,5.271,5.264799999999999,
2026-01-15 10:36:00,5.25,5.26,5.26,5.25,244.0,128277.0,5.271,5.264799999999999,
