date,open,close,high,low,volume,成交额,均价,ma50,ma200
2026-01-16 13:03:00,7.51,7.46,7.5,7.46,3549.0,2657143.0,7.649,,
2026-01-16 13:04:00,7.46,7.47,7.48,7.46,6773.0,5061030.0,7.648,,
2026-01-16 13:05:00,7.47,7.48,7.48,7.46,3163.0,2363540.0,7.648,,
2026-01-16 13:06:00,7.48,7.49,7.5,7.47,5620.0,4206803.0,7.647,,
2026-01-16 13:07:00,7.49,7.5,7.5,7.47,3607.0,2698756.0,7.647,,
2026-01-16 13:08:00,7.5,7.51,7.51,7.49,2566.0,1925098.0,7.647,,
2026-01-16 13:09:00,7.51,7.55,7.55,7.51,4298.0,3234447.0,7.647,,
2026-01-16 13:10:00,7.55,7.53,7.55,7.52,16318.0,12291604.0,7.646,,
2026-01-16 13:11:00,7.53,7.55,7.55,7.52,4437.0,3345816.0,7.646,,
2026-01-16 13:12:00,7.55,7.55,7.57,7.54,14441.0,10911841.0,7.645,,
2026-01-16 13:13:00,7.55,7.53,7.55,7.52,3155.0,2377201.0,7.645,,
2026-01-16 13:14:00,7.53,7.53,7.54,7.53,4848.0,3653439.0,7.645,,
2026-01-16 13:15:00,7.53,7.52,7.53,7.52,2397.0,1803599.0,7.645,,
2026-01-16 13:16:00,7.52,7.51,7.53,7.51,3137.0,2357905.0,7.645,,
2026-01-16 13:17:00,7.51,7.5,7.52,7.5,7451.0,5595710.0,7.644,,
2026-01-16 13:18:00,7.5,7.51,7.51,7.5,3698.0,2775235.0,7.644,,
2026-01-16 13:19:00,7.51,7.51,7.52,7.5,3011.0,2262249.0,7.644,,
2026-01-16 13:20:00,7.51,7.5,7.53,7.5,2902.0,2180167.0,7.644,,
2026-01-16 13:21:00,7.5,7.5,7.5,7.49,4002.0,3001438.0,7.643,,
2026-01-16 13:22:00,7.5,7.49,7.5,7.48,9566.0,7161330.0,7.643,,
2026-01-16 13:23:00,7.49,7.47,7.49,7.47,3197.0,2391648.0,7.643,,
2026-01-16 13:24:00,7.47,7.46,7.47,7.46,9254.0,6910696.0,7.642,,
2026-01-16 13:25:00,7.46,7.48,7.48,7.46,3608.0,2695494.0,7.642,,
2026-01-16 13:26:00,7.48,7.49,7.5,7.47,5411.0,4052728.0,7.641,,
2026-01-16 13:27:00,7.49,7.48,7.49,7.48,3277.0,2451385.0,7.641,,
2026-01-16 13:28:00,7.48,7.48,7.49,7.48,4155.0,3110630.0,7.641,,
2026-01-16 13:29:00,7.48,7.46,7.49,7.46,6828.0,5101621.0,7.64,,
2026-01-16 13:30:00,7.46,7.46,7.47,7.46,3508.0,2618293.0,7.64,,
2026-01-16 13:31:00,7.46,7.45,7.46,7.44,10118.0,7541843.0,7.639,,
