date,open,close,high,low,volume,成交额,均价,ma50,ma200
2026-01-14 13:03:00,6.56,6.57,6.57,6.55,1351.0,886169.0,6.495,,
2026-01-14 13:04:00,6.57,6.55,6.57,6.55,1736.0,1138858.0,6.496,,
2026-01-14 13:05:00,6.55,6.56,6.56,6.54,670.0,438603.0,6.496,,
2026-01-14 13:06:00,6.56,6.53,6.55,6.53,473.0,309624.0,6.496,,
2026-01-14 13:07:00,6.53,6.52,6.53,6.52,687.0,448571.0,6.496,,
2026-01-14 13:08:00,6.52,6.51,6.53,6.51,723.0,471354.0,6.496,,
2026-01-14 13:09:00,6.51,6.52,6.52,6.5,3083.0,2007266.0,6.496,,
2026-01-14 13:10:00,6.52,6.5,6.51,6.5,9164.0,5964738.0,6.497,,
2026-01-14 13:11:00,6.5,6.5,6.51,6.5,1027.0,667917.0,6.497,,
2026-01-14 13:12:00,6.5,6.51,6.53,6.5,987.0,643447.0,6.497,,
2026-01-14 13:13:00,6.51,6.51,6.52,6.51,1164.0,759001.0,6.497,,
2026-01-14 13:14:00,6.51,6.51,6.52,6.51,542.0,352916.0,6.497,,
2026-01-14 13:15:00,6.51,6.5,6.52,6.5,902.0,586641.0,6.497,,
2026-01-14 13:16:00,6.5,6.48,6.5,6.48,1662.0,1077862.0,6.497,,
2026-01-14 13:17:00,6.48,6.47,6.48,6.47,426.0,275977.0,6.497,,
2026-01-14 13:18:00,6.47,6.48,6.48,6.47,864.0,559528.0,6.497,,
2026-01-14 13:19:00,6.48,6.5,6.5,6.48,805.0,522138.0,6.497,,
2026-01-14 13:20:00,6.5,6.52,6.53,6.49,2231.0,1453974.0,6.497,,
2026-01-14 13:21:00,6.52,6.53,6.54,6.52,1825.0,1191507.0,6.497,,
2026-01-14 13:22:00,6.53,6.51,6.53,6.51,204.0,132928.0,6.497,,
2026-01-14 13:23:00,6.51,6.51,6.52,6.51,301.0,196167.0,6.497,,
2026-01-14 13:24:00,6.51,6.5,6.52,6.5,568.0,369924.0,6.498,,
2026-01-14 13:25:00,6.5,6.52,6.54,6.5,828.0,540275.0,6.498,,
2026-01-14 13:26:00,6.52,6.53,6.53,6.52,628.0,409786.0,6.498,,
2026-01-14 13:27:00,6.53,6.54,6.55,6.53,1600.0,1046348.0,6.498,,
2026-01-14 13:28:00,6.54,6.54,6.54,6.54,1338.0,875538.0,6.498,,
2026-01-14 13:29:00,6.54,6.55,6.55,6.54,1612.0,1054839.0,6.499,,
2026-01-14 13:30:00,6.55,6.56,6.56,6.54,514.0,336716.0,6.499,,
2026-01-14 13:31:00,6.56,6.56,6.56,6.56,631.0,413936.0,6.499,,
2026-01-14 13:32:00,6.56,6.55,6.56,6.55,784.0,513982.0,6.499,,
2026-01-14 13:33:00,6.55,6.53,6.54,6.53,1235.0,808287.0,6.499,,
2026-01-14 13:34:00,6.53,6.52,6.53,6.52,368.0,240293.0,6.499,,
2026-01-14 13:35:00,6.52,6.51,6.52,6.51,580.0,378157.0,6.499,,
2026-01-14 13:36:00,6.51,6.52,6.52,6.51,142.0,92573.0,6.499,,
2026-01-14 13:37:00,6.52,6.52,6.53,6.51,164.0,106969.0,6.5,,
2026-01-14 13:38:00,6.52,6.52,6.52,6.52,150.0,97800.0,6.5,,
2026-01-14 13:39:00,6.52,6.53,6.53,6.52,238.0,155398.0,6.5,,
2026-01-14 13:40:00,6.53,6.51,6.52,6.51,393.0,256235.0,6.5,,
2026-01-14 13:41:00,6.51,6.51,6.52,6.51,340.0,221345.0,6.5,,
2026-01-14 13:42:00,6.51,6.51,6.51,6.51,342.0,222642.0,6.5,,
